income,credit_score,loan_amount,points,loan_approved
143224,411,11184,55.0,False
125561,762,21205,90.0,True
37100,520,22482,20.0,False
118259,331,27502,55.0,False
115649,312,5041,60.0,True
114696,322,5225,60.0,True
42899,351,12009,30.0,False
37944,662,15071,45.0,False
82772,721,37089,65.0,True
125448,838,17328,95.0,True
74473,652,38070,50.0,False
134935,587,4839,75.0,True
142941,546,18467,55.0,False
44322,697,24252,50.0,False
62591,660,38201,50.0,False
55112,802,3487,85.0,True
54931,433,23331,35.0,False
100292,413,35491,50.0,False
88800,609,22142,60.0,True
48373,665,15630,45.0,False
85296,700,38190,55.0,False
54050,808,10217,85.0,True
66509,390,47462,35.0,False
90637,658,17820,60.0,True
62742,804,25819,75.0,True
144620,334,20327,40.0,False
39880,376,36851,20.0,False
88082,744,11295,75.0,True
135909,543,7285,50.0,False
142898,601,44386,65.0,True
142193,383,32035,50.0,False
102132,696,13116,80.0,True
42833,531,18600,25.0,False
36630,723,39648,50.0,False
115477,541,32212,50.0,False
100855,759,12329,90.0,True
139579,506,42105,45.0,False
31934,633,19101,40.0,False
42224,451,38132,25.0,False
128771,848,23535,95.0,True
141240,712,10427,85.0,True
60982,786,18601,75.0,True
51798,533,9807,45.0,False
83269,492,29948,45.0,False
93653,462,5300,55.0,False
93092,359,17350,40.0,False
58016,817,27014,75.0,True
143331,785,39461,85.0,True
82565,466,38503,40.0,False
148284,320,45708,35.0,False
37685,581,28774,40.0,False
51579,404,1481,50.0,False
79672,793,5183,90.0,True
30282,546,4720,35.0,False
81173,565,28431,45.0,False
64760,527,45978,35.0,False
132769,485,20253,50.0,False
132908,391,15565,55.0,False
89638,601,31393,55.0,False
67388,422,45610,35.0,False
85444,650,27816,60.0,True
121303,640,42355,65.0,True
125748,462,33084,45.0,False
132676,304,3472,60.0,True
102845,495,2174,45.0,False
116752,692,33986,75.0,True
124163,836,23140,95.0,True
93788,468,27436,30.0,False
50289,675,47603,50.0,False
54890,320,4161,45.0,False
68890,309,20733,40.0,False
58534,407,34527,35.0,False
37665,569,35284,25.0,False
105914,638,16368,55.0,False
126434,823,5918,95.0,True
101066,402,12449,45.0,False
37989,346,1633,35.0,False
128038,395,25420,55.0,False
71104,731,43522,60.0,True
37492,794,38286,60.0,True
36572,794,32989,55.0,False
106569,529,44898,45.0,False
92493,793,23659,80.0,True
95909,817,31755,85.0,True
141767,351,34222,55.0,False
99615,758,6768,90.0,True
50635,300,6956,45.0,False
37455,649,24812,30.0,False
96562,763,8472,85.0,True
40500,408,4000,40.0,False
141587,423,26748,55.0,False
54356,426,30524,35.0,False
38981,743,39346,60.0,True
107992,406,26389,55.0,False
38907,580,27074,40.0,False
118501,606,46973,65.0,True
142960,597,45997,65.0,True
60828,630,47553,45.0,False
82923,592,28681,45.0,False
45713,593,45786,40.0,False
146691,667,30661,65.0,True
104668,698,16571,80.0,True
62271,355,1849,50.0,False
105880,501,48507,45.0,False
107924,422,25720,45.0,False
35209,458,3617,30.0,False
111183,666,5776,75.0,True
40745,713,7025,60.0,True
84948,786,37787,60.0,True
116163,628,25993,65.0,True
106503,756,32903,75.0,True
104085,846,1480,100.0,True
98522,850,47054,80.0,True
71467,639,3482,60.0,True
64179,717,26430,60.0,True
56772,346,46933,25.0,False
117782,748,25996,90.0,True
123872,602,42552,60.0,True
71180,444,9076,35.0,False
61285,516,28043,35.0,False
64814,355,36969,35.0,False
81876,798,22682,80.0,True
47154,636,41392,40.0,False
118039,304,21526,55.0,False
114607,639,32454,65.0,True
69321,587,10175,60.0,True
89929,714,39668,65.0,True
71441,674,26722,65.0,True
128548,392,27003,55.0,False
39508,756,11434,65.0,True
31220,667,3648,50.0,False
90068,830,24674,85.0,True
111416,580,49621,60.0,True
103792,829,17487,95.0,True
43104,306,33888,20.0,False
39602,461,24738,25.0,False
100468,790,32393,85.0,True
57938,464,9829,45.0,False
96307,829,27571,85.0,True
64760,759,40749,70.0,True
47361,486,41842,25.0,False
75745,535,25786,45.0,False
145456,481,32186,55.0,False
39016,301,45470,25.0,False
145247,690,23971,80.0,True
62018,538,6493,45.0,False
78434,835,8722,90.0,True
67353,458,28923,35.0,False
50676,508,28081,35.0,False
87433,652,47235,55.0,False
139280,465,7571,60.0,True
101200,393,10524,55.0,False
122214,833,19774,95.0,True
69651,830,19743,80.0,True
110173,336,24575,55.0,False
135788,704,27571,80.0,True
115717,656,23772,70.0,True
99329,479,27681,45.0,False
31025,850,38676,65.0,True
117538,769,45668,85.0,True
137099,535,21691,55.0,False
102692,708,45151,70.0,True
69240,575,12978,45.0,False
116951,664,11223,70.0,True
43577,343,32607,25.0,False
145097,586,27075,70.0,True
47601,333,33930,25.0,False
64664,308,1774,50.0,False
45129,542,18655,25.0,False
146616,673,27253,80.0,True
44029,576,16453,30.0,False
127310,480,28624,55.0,False
102512,556,37840,50.0,False
50374,398,30481,35.0,False
65697,424,24009,40.0,False
66930,632,45118,50.0,False
109276,471,42981,50.0,False
57607,621,21766,55.0,False
124058,833,30510,95.0,True
74942,381,14800,45.0,False
56685,706,35339,55.0,False
120111,590,30042,65.0,True
113130,787,31617,85.0,True
141792,745,35305,90.0,True
64600,615,24971,55.0,False
96244,847,1545,95.0,True
94032,307,36927,45.0,False
62914,699,25796,60.0,True
148664,575,28060,55.0,False
149034,803,13306,100.0,True
140900,428,47871,50.0,False
36658,619,33662,40.0,False
42097,701,5678,60.0,True
113136,554,26218,55.0,False
85518,784,26501,80.0,True
138704,503,24620,45.0,False
66265,582,39318,45.0,False
35778,680,6864,60.0,True
30464,849,8038,65.0,True
73719,497,2399,50.0,False
131072,601,36568,65.0,True
47146,464,5513,35.0,False
113507,688,49080,70.0,True
64335,696,13443,70.0,True
51178,413,7308,45.0,False
127154,409,32809,50.0,False
87912,562,4216,55.0,False
102309,381,31674,50.0,False
122493,572,35669,40.0,False
86057,536,35842,40.0,False
103519,725,49896,65.0,True
31267,484,37042,25.0,False
44663,632,25361,40.0,False
39862,684,37060,50.0,False
145750,316,34922,50.0,False
120573,823,37459,90.0,True
148479,675,39152,75.0,True
49536,379,48420,25.0,False
101511,690,6143,75.0,True
34722,532,49999,25.0,False
139392,453,22419,55.0,False
78393,816,6903,95.0,True
106350,350,36923,50.0,False
102420,502,32972,50.0,False
49410,740,22195,60.0,True
86333,324,20976,50.0,False
46704,539,14086,30.0,False
35482,594,1900,55.0,False
70404,516,14356,45.0,False
77795,318,25681,45.0,False
147831,354,31471,40.0,False
134349,599,43559,65.0,True
142814,390,13217,60.0,True
35229,612,22860,40.0,False
147823,541,33850,55.0,False
76898,455,23399,45.0,False
57535,456,28948,35.0,False
119399,507,10051,60.0,True
62706,461,21807,30.0,False
117416,330,21885,55.0,False
43473,409,9620,35.0,False
76357,326,24544,40.0,False
132251,488,26392,55.0,False
103385,576,28069,50.0,False
145885,801,46079,90.0,True
144650,620,26831,70.0,True
83264,343,17103,50.0,False
111351,494,20082,55.0,False
128235,355,46216,50.0,False
50257,438,26760,35.0,False
61029,631,46332,50.0,False
143325,836,47352,90.0,True
51299,344,12199,45.0,False
134842,352,28497,55.0,False
136269,507,1231,60.0,True
53206,805,16589,80.0,True
145528,584,41616,65.0,True
84040,337,10527,40.0,False
33248,465,45046,25.0,False
53509,668,3348,60.0,True
126542,366,20191,55.0,False
73540,359,8163,45.0,False
132548,737,40901,75.0,True
83964,832,48787,80.0,True
135150,776,41990,80.0,True
117806,658,37727,65.0,True
143254,607,34206,70.0,True
126345,329,12510,60.0,True
136266,793,11183,95.0,True
62527,357,35149,35.0,False
64970,662,5339,60.0,True
50866,491,40006,30.0,False
133202,723,6688,85.0,True
121917,479,8355,60.0,True
44168,812,11097,70.0,True
80140,400,34826,35.0,False
144316,389,22842,55.0,False
35075,514,22029,25.0,False
142537,452,11321,60.0,True
91694,626,18763,60.0,True
59154,646,36427,50.0,False
56158,736,26684,60.0,True
137031,640,13985,70.0,True
90332,779,7374,90.0,True
75830,447,41431,40.0,False
70001,764,32949,55.0,False
137549,430,34288,50.0,False
134247,710,39701,75.0,True
144206,513,46485,50.0,False
59831,477,44424,25.0,False
59219,399,30177,35.0,False
33101,392,15261,20.0,False
116511,763,35816,85.0,True
55313,745,48041,70.0,True
82227,678,36971,55.0,False
73025,540,29292,35.0,False
66517,477,32121,30.0,False
143292,437,1760,50.0,False
39099,386,9992,30.0,False
131361,821,28795,95.0,True
66585,810,48901,75.0,True
76025,794,47195,75.0,True
114080,586,31470,65.0,True
96768,619,41176,45.0,False
82386,639,28591,60.0,True
119065,473,38542,40.0,False
140580,817,6037,100.0,True
100282,478,39782,45.0,False
73404,840,3168,90.0,True
33617,692,16594,50.0,False
45118,418,4442,40.0,False
144955,699,32102,80.0,True
64237,842,45752,65.0,True
53405,643,18716,55.0,False
106099,499,35075,50.0,False
64795,312,27951,30.0,False
35014,324,41592,20.0,False
44208,422,6661,35.0,False
108193,559,20304,55.0,False
86959,563,11614,40.0,False
75309,482,29873,35.0,False
125491,741,15312,90.0,True
133078,556,30221,40.0,False
71114,637,26646,55.0,False
87199,531,1216,55.0,False
109457,710,4617,85.0,True
97033,596,43453,55.0,False
45157,409,42328,25.0,False
80488,544,33062,40.0,False
147899,337,23235,45.0,False
105574,835,31039,90.0,True
54914,782,41525,60.0,True
63386,767,41057,70.0,True
35817,364,14280,30.0,False
122901,440,22075,55.0,False
87154,472,46632,40.0,False
30221,461,2024,40.0,False
98146,429,14510,45.0,False
135710,484,48002,50.0,False
100575,541,13576,50.0,False
120027,513,19115,45.0,False
124297,344,4540,60.0,True
127248,850,12526,100.0,True
126605,633,28463,70.0,True
117900,722,14104,80.0,True
55825,482,26384,35.0,False
77739,332,46364,40.0,False
86531,525,20343,50.0,False
39171,535,6667,35.0,False
117062,314,48842,45.0,False
73279,305,28379,30.0,False
111678,400,30651,50.0,False
71145,667,20384,55.0,False
116951,324,30808,50.0,False
141151,372,26223,55.0,False
46334,643,49218,30.0,False
124339,341,24958,55.0,False
147970,544,36365,50.0,False
69363,530,22001,40.0,False
96469,797,33863,80.0,True
70538,367,13343,45.0,False
117410,451,33527,45.0,False
83528,435,32057,45.0,False
72753,537,35053,35.0,False
82743,755,31015,80.0,True
121384,595,4101,70.0,True
68752,486,12492,40.0,False
102667,488,14445,55.0,False
46683,466,35972,25.0,False
55144,459,1281,50.0,False
85108,450,38043,40.0,False
117153,756,24422,85.0,True
79695,584,13826,50.0,False
118777,625,40529,65.0,True
128059,678,26304,80.0,True
148332,520,48700,50.0,False
52810,734,48749,60.0,True
110676,837,22981,85.0,True
104593,724,12461,80.0,True
69446,596,37298,50.0,False
83225,529,2758,40.0,False
101819,727,12755,80.0,True
139278,670,39080,75.0,True
30053,682,34588,50.0,False
69829,438,24421,40.0,False
67606,842,42873,65.0,True
57549,630,21723,55.0,False
86346,440,34958,40.0,False
132990,815,15490,95.0,True
106019,419,9600,45.0,False
109516,650,12285,70.0,True
115813,428,14752,50.0,False
72237,343,13868,40.0,False
90946,344,5341,55.0,False
87905,489,44948,40.0,False
87954,660,11522,65.0,True
118555,841,15221,95.0,True
58010,816,47383,75.0,True
97000,734,15042,75.0,True
92021,807,24674,85.0,True
134036,754,15802,90.0,True
148119,483,1837,60.0,True
134336,404,49590,50.0,False
126463,811,19252,95.0,True
52241,796,34516,70.0,True
116356,330,7527,50.0,False
41114,634,11009,45.0,False
67196,600,44390,50.0,False
97561,421,26141,45.0,False
117012,468,33209,50.0,False
112960,781,32189,85.0,True
111167,661,19640,70.0,True
73933,327,41970,35.0,False
42240,553,16376,30.0,False
137272,320,36285,50.0,False
128453,322,21743,55.0,False
60784,644,33553,50.0,False
118184,506,33568,50.0,False
70687,604,38586,50.0,False
59444,843,32147,75.0,True
135717,743,44480,85.0,True
56100,484,2219,50.0,False
49313,778,18559,65.0,True
33201,834,14149,65.0,True
36057,626,5222,50.0,False
62092,541,27598,35.0,False
92277,746,28657,70.0,True
110120,343,48348,45.0,False
141376,716,24818,75.0,True
130727,812,8906,100.0,True
39545,543,40309,20.0,False
89692,733,15287,70.0,True
84321,357,33136,45.0,False
146147,584,10496,75.0,True
112544,545,17579,55.0,False
105454,697,1515,85.0,True
55485,464,29760,35.0,False
124155,782,49296,85.0,True
121272,818,5349,100.0,True
80328,353,43033,40.0,False
94799,621,38736,50.0,False
82383,720,21932,70.0,True
61979,386,28164,35.0,False
49342,534,6831,35.0,False
115990,452,6836,60.0,True
120128,806,8766,100.0,True
30726,691,9532,55.0,False
147002,728,12820,85.0,True
128430,554,25224,55.0,False
142779,707,46013,75.0,True
130931,360,4415,60.0,True
146059,609,26866,70.0,True
43970,804,23228,65.0,True
132029,345,9380,60.0,True
85724,570,34880,40.0,False
58683,750,4487,85.0,True
53053,796,30999,70.0,True
135396,484,12029,60.0,True
121214,304,35472,50.0,False
97889,326,19630,45.0,False
90889,771,47380,75.0,True
36582,632,48942,40.0,False
103060,372,36858,50.0,False
62662,466,26460,35.0,False
141193,617,45889,65.0,True
45906,697,32223,50.0,False
89829,736,7091,70.0,True
47477,837,6503,75.0,True
135043,607,17295,70.0,True
90901,722,7192,80.0,True
117500,316,8466,60.0,True
99616,621,39483,60.0,True
103259,516,13129,50.0,False
108047,704,8646,70.0,True
71588,704,20834,60.0,True
128992,514,32530,45.0,False
146840,774,10710,95.0,True
88008,320,30459,45.0,False
110301,405,42314,50.0,False
136824,797,34643,85.0,True
124276,840,2246,100.0,True
146918,806,41809,90.0,True
96162,537,34268,45.0,False
85933,699,28319,70.0,True
138864,388,44716,50.0,False
148863,610,16382,70.0,True
101810,478,33995,40.0,False
88446,798,17896,85.0,True
147598,406,47294,40.0,False
50861,342,34246,30.0,False
127472,752,34154,85.0,True
142917,506,29777,55.0,False
92216,475,6585,55.0,False
88991,842,28637,85.0,True
63972,670,2950,75.0,True
128536,468,29447,45.0,False
62406,832,20380,80.0,True
140082,652,1517,75.0,True
113579,752,46709,80.0,True
66347,850,22921,80.0,True
130376,619,35166,65.0,True
131931,732,34113,70.0,True
98327,759,20527,85.0,True
93517,443,47815,40.0,False
112149,383,7045,50.0,False
61358,831,26872,75.0,True
65992,466,10459,45.0,False
87654,333,49922,40.0,False
40155,596,3639,55.0,False
123525,446,10315,60.0,True
67450,302,9016,45.0,False
60735,686,32144,60.0,True
65614,633,6853,60.0,True
74020,753,49228,70.0,True
71904,387,13610,45.0,False
147050,319,8882,60.0,True
100798,754,6547,95.0,True
40561,324,35596,25.0,False
48136,561,6873,30.0,False
49769,605,26555,35.0,False
60311,353,14274,45.0,False
80205,362,21862,45.0,False
120957,403,17142,55.0,False
50028,508,10330,45.0,False
122591,762,3738,80.0,True
58043,793,18911,75.0,True
38418,588,3980,50.0,False
84377,586,29309,60.0,True
83424,579,17117,50.0,False
73369,787,1280,70.0,True
101121,383,43539,35.0,False
91069,685,40407,65.0,True
84496,755,1613,90.0,True
38161,526,16352,25.0,False
57110,705,8270,70.0,True
139168,366,9351,60.0,True
85069,845,41269,80.0,True
81049,630,29347,60.0,True
148598,529,4077,60.0,True
130898,325,49329,50.0,False
106556,618,5118,75.0,True
121163,556,17197,50.0,False
32560,374,40319,25.0,False
142293,686,21531,70.0,True
145429,367,7673,50.0,False
130348,310,30714,55.0,False
105456,764,34896,85.0,True
79857,429,42770,40.0,False
92518,345,4964,50.0,False
30772,449,10660,30.0,False
76105,358,16557,50.0,False
69139,506,5482,50.0,False
128759,636,11635,70.0,True
81116,535,31574,45.0,False
141863,510,27234,55.0,False
146869,445,20043,55.0,False
139540,478,15348,55.0,False
84921,568,7631,40.0,False
100545,767,16738,90.0,True
127978,421,10465,55.0,False
126289,550,4027,60.0,True
101582,586,9287,75.0,True
134840,471,34332,50.0,False
109069,629,47693,60.0,True
147677,337,14579,60.0,True
58906,686,38445,60.0,True
93993,755,35001,80.0,True
58760,742,27801,70.0,True
65774,377,24533,35.0,False
87125,400,8771,40.0,False
93654,495,47244,40.0,False
33804,713,27591,50.0,False
80968,532,48404,40.0,False
74057,648,6627,65.0,True
117670,330,25556,50.0,False
119016,647,15777,70.0,True
134614,332,10118,55.0,False
82994,700,5175,80.0,True
124919,395,12234,55.0,False
51632,371,26289,35.0,False
140166,311,12260,60.0,True
91261,370,26493,45.0,False
46728,617,39501,40.0,False
111560,552,35462,50.0,False
100008,655,46895,60.0,True
33534,768,26209,60.0,True
148872,580,42162,65.0,True
81645,424,25165,35.0,False
107580,512,34165,40.0,False
103975,499,26996,40.0,False
116900,796,31235,75.0,True
33552,465,12179,15.0,False
41003,579,11059,30.0,False
114246,835,43009,85.0,True
86179,555,25552,45.0,False
47786,525,7330,35.0,False
143619,512,36501,50.0,False
90515,711,43860,65.0,True
53819,344,5412,45.0,False
36590,475,17511,20.0,False
64099,625,44671,50.0,False
79689,815,39500,65.0,True
72906,549,41616,30.0,False
57742,338,16601,40.0,False
89598,833,28190,85.0,True
72840,355,44581,35.0,False
74236,752,42273,55.0,False
129775,428,7013,60.0,True
145296,778,21412,90.0,True
79692,759,42654,75.0,True
66471,782,29926,70.0,True
128567,737,6454,85.0,True
139041,764,19561,90.0,True
85255,304,1841,55.0,False
63065,693,33083,60.0,True
139433,466,13728,60.0,True
40735,677,46642,40.0,False
91644,670,42350,50.0,False
32540,560,17214,25.0,False
128176,707,47272,75.0,True
100702,558,46340,45.0,False
36826,411,42692,25.0,False
75870,615,1420,70.0,True
59389,741,12182,80.0,True
115215,761,38164,85.0,True
38993,718,29883,50.0,False
132397,583,5211,75.0,True
115426,342,7346,60.0,True
35276,645,40608,40.0,False
128858,708,25801,80.0,True
34067,442,2682,40.0,False
62411,786,34745,70.0,True
56130,346,49222,35.0,False
139999,402,49121,50.0,False
32671,608,45109,40.0,False
111439,549,14870,55.0,False
49973,464,22397,25.0,False
61266,439,36031,35.0,False
46544,366,43204,25.0,False
92070,747,16293,85.0,True
117747,418,38541,50.0,False
44993,494,26437,25.0,False
103920,527,7985,60.0,True
58569,766,10661,80.0,True
90952,426,18920,50.0,False
121680,456,47973,50.0,False
63586,701,20601,65.0,True
130518,373,35592,50.0,False
78351,355,47503,40.0,False
51992,514,15295,40.0,False
109415,685,28991,75.0,True
109593,827,43604,90.0,True
128032,546,26994,55.0,False
124156,774,43618,85.0,True
45012,821,15741,55.0,False
131946,795,43244,85.0,True
137387,320,26807,55.0,False
51465,427,14596,35.0,False
70768,340,9442,45.0,False
44168,605,24826,40.0,False
105849,831,20228,95.0,True
33365,514,46084,20.0,False
70888,520,9795,45.0,False
105470,566,26020,55.0,False
118781,848,14353,85.0,True
